epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,605.633,0.17061,0.16493,0.15757,0.82142,0,1,1,0.995,0.995,1,1,0.995,0.995,0.08714,0.15865,0.08057,0.76801,0,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,612.595,0.17703,0.16203,0.1516,0.8109,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09934,0.15454,0.09031,0.76921,0,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,619.764,0.16678,0.17976,0.14856,0.82914,0,1,1,0.995,0.995,1,1,0.995,0.995,0.10878,0.15112,0.08923,0.77001,0,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,626.922,0.16355,0.16936,0.1441,0.81087,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.09662,0.14896,0.07822,0.7697,0,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,633.919,0.17984,0.17218,0.15302,0.84094,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.09356,0.149,0.08522,0.76917,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,641.079,0.19072,0.18565,0.15879,0.82645,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09417,0.15226,0.07961,0.76904,0,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,648.123,0.18401,0.1646,0.14788,0.81485,0,1,1,0.995,0.995,1,1,0.995,0.995,0.0996,0.15378,0.08186,0.76893,0,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,655.274,0.17339,0.16219,0.14968,0.82714,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09644,0.15281,0.08335,0.76766,0,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,662.38,0.16794,0.16512,0.1462,0.816,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09534,0.15166,0.08614,0.76765,0,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,669.263,0.1605,0.15662,0.1397,0.82592,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09217,0.15234,0.07815,0.76778,0,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,676.557,0.16831,0.16751,0.14506,0.80965,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09104,0.15137,0.0783,0.76778,0,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,683.843,0.17387,0.15873,0.14698,0.82081,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09016,0.15114,0.08409,0.7681,0,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,690.85,0.16676,0.16565,0.14159,0.81049,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09097,0.15058,0.08188,0.76824,0,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
